# MEAN_SAMPLE_SIZE = 562
# TOTAL_GENES = 18
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, inverse mac, log(gene size), log(inverse mac)
VARIABLE                              TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
Curated_gene_sets:onken_uvea...        SET       2      0.15893     0.051396      0.22661      0.24823 Curated_gene_sets:onken_uveal_melanoma_dn
Curated_gene_sets:thum_systo...        SET       2     -0.27927    -0.090311      0.21451      0.89131 Curated_gene_sets:thum_systolic_heart_failure_dn
Curated_gene_sets:casorelli_...        SET       2      0.15893     0.051396      0.22661      0.24823 Curated_gene_sets:casorelli_acute_promyelocytic_leukemia_dn
Curated_gene_sets:charafe_br...        SET       3     0.073936     0.028353      0.21079      0.36593 Curated_gene_sets:charafe_breast_cancer_luminal_vs_mesenchymal_dn
Curated_gene_sets:basaki_ybx...        SET       3      0.30728      0.11783      0.24806      0.11957 Curated_gene_sets:basaki_ybx1_targets_dn
Curated_gene_sets:graham_cml...        SET       2     -0.43796     -0.14163      0.26333      0.93893 Curated_gene_sets:graham_cml_dividing_vs_normal_quiescent_up
Curated_gene_sets:dodd_nasop...        SET       2      0.14482     0.046833      0.37224      0.35202 Curated_gene_sets:dodd_nasopharyngeal_carcinoma_dn
Curated_gene_sets:rodrigues_...2       SET       2     0.098038     0.031704      0.32533      0.38415 Curated_gene_sets:rodrigues_thyroid_carcinoma_poorly_differentiated_dn
Curated_gene_sets:rodrigues_...1       SET       2     0.060536     0.019576       0.2372      0.40144 Curated_gene_sets:rodrigues_thyroid_carcinoma_anaplastic_up
Curated_gene_sets:gozgit_esr...        SET       2      0.22381     0.072376      0.21883       0.1633 Curated_gene_sets:gozgit_esr1_targets_dn
Curated_gene_sets:graessmann...2       SET       2    -0.034017       -0.011      0.27115      0.54888 Curated_gene_sets:graessmann_apoptosis_by_serum_deprivation_up
Curated_gene_sets:graessmann...1       SET       2    -0.037474    -0.012118      0.37748      0.53872 Curated_gene_sets:graessmann_apoptosis_by_doxorubicin_dn
Curated_gene_sets:berenjeno_...        SET       2      0.14482     0.046833      0.37224      0.35202 Curated_gene_sets:berenjeno_transformed_by_rhoa_up
Curated_gene_sets:lastowska_...        SET       2     -0.37402     -0.12095      0.30188      0.88048 Curated_gene_sets:lastowska_neuroblastoma_copy_number_up
Curated_gene_sets:perez_tp53...        SET       2     -0.14378    -0.046496      0.24295      0.71752 Curated_gene_sets:perez_tp53_targets
Curated_gene_sets:perez_tp63...        SET       2     -0.26607    -0.086042      0.21523      0.87999 Curated_gene_sets:perez_tp63_targets
Curated_gene_sets:dacosta_uv...2       SET       3     0.019922    0.0076399      0.19308      0.45976 Curated_gene_sets:dacosta_uv_response_via_ercc3_dn
Curated_gene_sets:dacosta_uv...1       SET       3     0.019922    0.0076399      0.19308      0.45976 Curated_gene_sets:dacosta_uv_response_via_ercc3_common_dn
Curated_gene_sets:martoriati...        SET       2    -0.076959    -0.024887      0.30714      0.59681 Curated_gene_sets:martoriati_mdm4_targets_fetal_liver_dn
Curated_gene_sets:mohankumar...        SET       3    -0.015538   -0.0059586      0.22397      0.52708 Curated_gene_sets:mohankumar_hoxa1_targets_up
Curated_gene_sets:hatada_met...        SET       3    0.0022098   0.00084742      0.19298      0.49553 Curated_gene_sets:hatada_methylated_in_lung_cancer_up
Curated_gene_sets:schlesinge...        SET       2      -0.4174     -0.13498      0.20176      0.96959 Curated_gene_sets:schlesinger_methylated_de_novo_in_cancer
Curated_gene_sets:nuytten_ni...2       SET       2       0.4758      0.15386      0.39158      0.12385 Curated_gene_sets:nuytten_nipp1_targets_up
Curated_gene_sets:nuytten_ni...1       SET       2   -0.0011953  -0.00038655       0.2308      0.50202 Curated_gene_sets:nuytten_nipp1_targets_dn
Curated_gene_sets:nuytten_ez...        SET       2       0.4758      0.15386      0.39158      0.12385 Curated_gene_sets:nuytten_ezh2_targets_up
Curated_gene_sets:wei_mycn_t...        SET       2      0.42644       0.1379      0.23296     0.046051 Curated_gene_sets:wei_mycn_targets_with_e_box
Curated_gene_sets:rickman_tu...        SET       2     -0.21017    -0.067965      0.28934      0.75923 Curated_gene_sets:rickman_tumor_differentiated_well_vs_poorly_dn
Curated_gene_sets:benporath_...        SET       2      -0.4174     -0.13498      0.20176      0.96959 Curated_gene_sets:benporath_suz12_targets
Curated_gene_sets:georges_ta...        SET       2      0.12213     0.039495       0.2859      0.33841 Curated_gene_sets:georges_targets_of_mir192_and_mir215
Curated_gene_sets:nikolsky_b...        SET       2     -0.37402     -0.12095      0.30188      0.88048 Curated_gene_sets:nikolsky_breast_cancer_17q21_q25_amplicon
Curated_gene_sets:nouzova_tr...        SET       2     0.060536     0.019576       0.2372      0.40144 Curated_gene_sets:nouzova_tretinoin_and_h4_acetylation
Curated_gene_sets:blalock_al...        SET       2     -0.23817    -0.077019      0.24464      0.82525 Curated_gene_sets:blalock_alzheimers_disease_dn
Curated_gene_sets:cui_tcf21_...        SET       4      0.03318     0.014194      0.19211      0.43288 Curated_gene_sets:cui_tcf21_targets_2_dn
Curated_gene_sets:durchdewal...        SET       2    -0.075442    -0.024397      0.33387      0.58748 Curated_gene_sets:durchdewald_skin_carcinogenesis_dn
Curated_gene_sets:monnier_po...        SET       2    -0.055617    -0.017985      0.30541      0.57073 Curated_gene_sets:monnier_postradiation_tumor_escape_up
Curated_gene_sets:creighton_...        SET       2     -0.12688     -0.04103       0.2317        0.703 Curated_gene_sets:creighton_endocrine_therapy_resistance_1
Curated_gene_sets:lein_midbr...        SET       2    -0.044636    -0.014434      0.23247      0.57453 Curated_gene_sets:lein_midbrain_markers
Curated_gene_sets:marson_bou...        SET       2     -0.30212    -0.097699      0.27622      0.85223 Curated_gene_sets:marson_bound_by_e2f4_unstimulated
Curated_gene_sets:martinez_r...2       SET       2     0.098038     0.031704      0.32533      0.38415 Curated_gene_sets:martinez_rb1_targets_up
Curated_gene_sets:martinez_t...        SET       2     0.098038     0.031704      0.32533      0.38415 Curated_gene_sets:martinez_tp53_targets_up
Curated_gene_sets:martinez_r...1       SET       2     0.098038     0.031704      0.32533      0.38415 Curated_gene_sets:martinez_rb1_and_tp53_targets_up
Curated_gene_sets:massarweh_...        SET       2     -0.12688     -0.04103       0.2317        0.703 Curated_gene_sets:massarweh_tamoxifen_resistance_dn
